name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	1076734	983301	2060035	0.15505
Bacteroides thetaiotaomicron	818	S	590738	122540	713278	0.05369
Bacteroides ovatus	28116	S	417686	985358	1403044	0.10560
Bacteroides nordii	291645	S	88262	5756	94018	0.00708
Bacteroides xylanisolvens	371601	S	25961	35660	61621	0.00464
Bacteroides sp. A1C1	2528203	S	7052	38820	45872	0.00345
Bacteroides sp. CACC 737	2755405	S	2943	12616	15559	0.00117
Bacteroides sp. HF-162	2785531	S	2827	24418	27245	0.00205
Bacteroides sp. M10	2763022	S	2416	1999	4415	0.00033
Bacteroides sp. D2	556259	S	1733	2311	4044	0.00030
Bacteroides sp. DH3716P	2847299	S	509	4871	5380	0.00040
Bacteroides sp. MSB163	3117552	S	409	156	565	0.00004
Bacteroides sp. PHL 2737	2162637	S	11	3377	3388	0.00026
Bacteroides fragilis	817	S	13378	11483	24861	0.00187
Bacteroides faecis	674529	S	11217	3442	14659	0.00110
Bacteroides salyersiae	291644	S	7722	757	8479	0.00064
Bacteroides caccae	47678	S	4297	6576	10873	0.00082
Bacteroides humanifaecis	2792859	S	3135	22753	25888	0.00195
Bacteroides stercoris	46506	S	2656	866	3522	0.00027
Bacteroides finegoldii	338188	S	2160	1376	3536	0.00027
Bacteroides luhongzhouii	2650158	S	2076	617	2693	0.00020
Bacteroides eggerthii	28111	S	1989	541	2530	0.00019
Bacteroides cellulosilyticus	246787	S	1760	1020	2780	0.00021
Bacteroides caecimuris	1796613	S	1100	459	1559	0.00012
Bacteroides helcogenes	290053	S	909	23	932	0.00007
Bacteroides zhangwenhongii	2650157	S	786	659	1445	0.00011
Bacteroides faecium	2715212	S	725	40	765	0.00006
Bacteroides intestinalis	329854	S	182	23	205	0.00002
Bacteroides heparinolyticus	28113	S	140	21	161	0.00001
Bacteroides sedimenti	2136147	S	111	1	112	0.00001
Bacteroides zoogleoformans	28119	S	101	16	117	0.00001
Bacteroides graminisolvens	477666	S	91	0	91	0.00001
uncultured Bacteroides sp.	162156	S	31	0	31	0.00000
Phocaeicola vulgatus	821	S	2023349	1050587	3073936	0.23136
Phocaeicola dorei	357276	S	44519	27073	71592	0.00539
Phocaeicola coprophilus	387090	S	22451	6468	28919	0.00218
Phocaeicola salanitronis	376805	S	192	10	202	0.00002
